Symbol,US Trading Venue,Trading Date,OTC Tier,Caveat Emptor,Security Type,Security Class,Security Name,Country of Domicile,Company Name
GLNNF,OTC Link,04/01/2018,OTCQB,N,Ordinary Shares,,GLANCE TECHNOLOGIES ORD,Canada,Glance Technologies Inc
GLNS,OTC Link,04/01/2018,OTCQB,N,Common Stock,,GOLDEN STAR RES CORP,USA,Golden Star Resource Corp
GLNV,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,GLENVILLE BK HLDG CO INC,USA,"Glenville Bank Holding Co., Inc."
GLOH,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,GLOW HOLDINGS INC,USA,"Glow Holdings, Inc."
GLPEY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,GALP ENERGIA SA UNSP/ADR,Portugal,"Galp Energia, SA"
GLPT,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,GLOBAL PROFIT TCHS INC FL,USA,"Global Profit Technologies, Inc."
GLPW,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GLOBAL POWER EQUIP GROUP,USA,"Global Power Equipment Group, Inc."
GLRI,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GLORI ENERGY INC,USA,Glori Energy Inc
GLRP,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GLEN ROSE PETE CORP,USA,Glen Rose Petroleum Corp.
GLTC,OTC Link,04/01/2018,OTCQB,N,Common Stock,,GELTECH SOLUTIONS INC,USA,"GelTech Solutions, Inc."
GLUC,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,GLUCOSE HEALTH INC,USA,"Glucose Health, Inc."
GLUSF,OTC Link,04/01/2018,OTC Pink Current,N,Other Security Type,,GLUSKIN SHEFFF ASSOC  INC,Canada,Gluskin Sheff Associates Inc.
GLUX,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GREAT LKS AVIATION LTD,USA,"Great Lakes Aviation, Ltd."
GLVMF,OTC Link,04/01/2018,OTCQB,N,Ordinary Shares,,GOLDEN VALLEY MINES LTD,Canada,Golden Valley Mines Ltd.
GLVNF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,GALLANT VENTURE LTD ORD,,Gallant Venture Ltd.
GLWA,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GLOBAL WATER ASSET CORP,Canada,Global Water Asset Corp.
GLXZ,OTC Link,04/01/2018,OTCQB,N,Common Stock,,GALAXY GAMING INC,USA,"Galaxy Gaming, Inc."
GLYE,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,GLYECO INC,USA,"GlyEco, Inc."
GLYYY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,GLORY LTD UNSP/ADR,Japan,Glory Ltd.
GMALF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,GENTING MALAYSIA BHD ORD,Malaysia,Genting Malaysia Berhad
GMALY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,GENTING MALAYSIA S/ADR,Malaysia,Genting Malaysia Berhad
