Symbol,US Trading Venue,Trading Date,OTC Tier,Caveat Emptor,Security Type,Security Class,Security Name,Country of Domicile,Company Name
BRTI,OTC Link,04/01/2018,OTCQB,N,Common Stock,,BLACKRIDGE TECH INC,USA,"BlackRidge Technology International, Inc."
BRTX,OTC Link,04/01/2018,OTCQB,N,Common Stock,,BIORESTORATIVE THERAPIES,USA,"BioRestorative Therapies, Inc."
BRVO,OTC Link,04/01/2018,OTCQB,N,Common Stock,,BRAVO MULTINATIONAL INC,Canada,Bravo Multinational Incorporated
BRVRF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BLUE RIVER RES LTD ORD,Canada,"Blue River Resources, Ltd."
BRVVF,OTC Link,04/01/2018,OTC Pink Current,Y,Ordinary Shares,,QUANTUM COBALT CORP,Canada,Quantum Cobalt Corp.
BRYAF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BERJAYA CORPORATION BHD,,Berjaya Corporation BHD
BRYN,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BRYN RESOURCES INC,USA,"Bryn Resources, Inc."
BRYYF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,AMANI GOLD LTD ORD,,Amani Gold Ltd.
BRZL,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,SCEPTER HOLDINGS INC,USA,"Scepter Holdings, Inc."
BRZV,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BREEZER VENTURES INC,Panama,"Breezer Ventures, Inc."
BSCA,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BANK OF SANTA CLARITA CA,USA,Bank of Santa Clarita (CA)
BSDGF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BOSIDENG INTL HLDGS LTD,China,Bosideng International Holdings Ltd.
BSDGY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,BOSIDENG INTL HL UNSP/ADR,China,Bosideng International Holdings Ltd.
BSEAF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BRAEMAR SHIPPING SRVS ORD,,Braemar Shipping Services PLC
BSEFY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,BENESSE HLDGS UNSP/ADR,Japan,"Benesse Holdings, Inc."
BSEG,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BIG SCREEN ENTMT GRP INC,USA,"Big Screen Entertainment Group, Inc."
BSEM,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BIOSTEM TECHNOLOGIES NEW,USA,"BioStem Technologies, Inc."
BSGC,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BIGSTRING CORP,USA,BigString Corp.
BSGM,OTC Link,04/01/2018,OTCQB,N,Common Stock,,BIOSIG TECHNOLOGIES INC,USA,"BioSig Technologies, Inc."
BSHF,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BIOSHAFT WATER TECH INC,USA,"Bioshaft Water Technology, Inc."
BSHI,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BOSS HOLDINGS INC,USA,"Boss Holdings, Inc."
BSND,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BOSTON SAND & GRAVEL,USA,Boston Sand & Gravel Co.
BSPA,OTC Link/BB,04/01/2018,OTC Pink Current,N,Common Stock,,BALLSTON SPA BNCRP INC,USA,"Ballston Spa Bancorp, Inc."
BSPB,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BOSP BANCSHARES INC,USA,BOSP Bancshares Inc
BSPDY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,PT BUMI SERPONG U/ADR,Indonesia,PT Bumi Serpong Damai
BSPE,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BLACKSANDS PETE INC,USA,"Blacksands Petroleum, Inc."
BSPK,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BESPOKE EXTRACTS INC,USA,"Bespoke Extracts, Inc."
BSPR,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BIGSUPERSEARCH.COM INC,USA,"Bigsupersearch.com, Inc."
BSRAF,OTC Link,04/01/2018,OTC Pink No Information,N,Ordinary Shares,,BESRA GOLD INC,New Zealand,"Besra Gold, Inc."
BSRC,OTC Link,04/01/2018,OTCQB,N,Common Stock,,BIOSOLAR INC,USA,"BioSolar, Inc."
BSSC,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BANK OF SOUTHSIDE VA CORP,USA,"Bank of Southside (The) (Carson, VA)"
BSSP,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BASSLINE PRODUCTIONS INC,USA,"Bassline Productions, Inc."
BSSY,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BOSY HLDGS CORP,Hong Kong,Bosy Holdings Corp
BSTGD,OTC Link,04/01/2018,OTCQB,N,Common Stock,,BIOSTAGE INC NEW,USA,"Biostage, Inc."
BSTHY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,BOUSTEAD HLDGS BERHAD ADR,Malaysia,Boustead Holdings Berhad
BSTK,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BRITE-STRIKE TACTICAL INC,USA,"Brite-Strike Tactical Illumination Products, Inc."
BSTN,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BOSTON CARRIERS INC,Greece,"Boston Carriers, Inc."
BSTO,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BLUE STAR OPPTYS CORP,USA,Blue Star Opportunities Corp.
BSYBF,OTC Link,04/01/2018,OTCQX International Premier,N,Ordinary Shares,,SKY PLC ORD,United Kingdom,Sky Plc
BSYI,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BIOSYNTECH INC,Canada,"BioSyntech, Inc."
BTAFF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BRITISH AMER TBCO LONDON,United Kingdom,British American Tobacco p.l.c.
BTAM,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BEN-TAM INC,USA,"Ben-Tam, Inc."
BTCA,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BACTOLAC PHARM INC,USA,"Bactolac Pharmaceutical, Inc."
BTCS,OTC Link,04/01/2018,OTCQB,N,Common Stock,,BTCS INC,USA,BTCS Inc.
BTCY,OTC Link,04/01/2018,OTCQB,N,Common Stock,,BIOTRICITY INC,USA,Biotricity Inc.
BTDG,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,B2DIGITAL INC,USA,"B2Digital, Inc."
BTDPF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BARRATT DEVELOPMENT PLC,United Kingdom,Barratt Developments Plc.
BTFL,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,MONARCH AMERICA INC,USA,"Monarch America, Inc."
BTGGF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BTG PLC,United Kingdom,BTG plc
BTGI,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BULOVA TECHS GROUP INC,USA,"Bulova Technologies Group, Inc."
BTGOF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BT GROUP PLC GBP,United Kingdom,BT Group Plc
BTHCF,OTC Link,04/01/2018,OTCQB,N,Ordinary Shares,,BREATHTEC BIOMED ORD A,Canada,Breathtec Biomedical Inc
BTHE,OTC Link,04/01/2018,OTCQB,N,Common Stock,,BOSTON THERAPEUTICS INC,USA,Boston Therapeutics Inc
BTHR,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,SPORTS VENUES OF FLORIDA,USA,"Sports Venues of Florida, Inc."
BTHT,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BEST HOMETOWN BANCORP INC,USA,Best Hometown Bancorp Inc
BTKGF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BREADTALK GROUP LTD,Singapore,Breadtalk Group Ltd.
BTLCY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,BRITISH LAND CO S/ADR,United Kingdom,British Land Company (The) PLC
BTLLF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BTL GROUP LTD,Canada,BTL Group Ltd.
BTLN,OTC Link,04/01/2018,OTCQB,N,Common Stock,,BRIGHTLANE CORP,USA,Brightlane Corp.
BTLR,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BATTLERS CORP,Cyprus,Battlers Corp
BTOF,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BENTON FINANCIAL CORP,USA,Benton Financial Corp.
BTOOY,OTC Link,04/01/2018,OTC Pink Current,N,Global Depository Receipts,,B2W COMPHANIA DIG S/ADR,Brazil,B2W - Companhia Digital
BTOP,OTC Link,04/01/2018,OTCQB,N,Common Stock,,RECALL STUDIOS INC,USA,"Recall Studios, Inc."
BTOW,OTC Link,04/01/2018,OTC Pink Limited,N,Common Stock,,BELLTOWER ENTMT CRP,USA,Belltower Entertainment Corp.
BTSC,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BITCOIN SERVICES INC,USA,"Bitcoin Services, Inc."
BTSGF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BTS GROUP HLDGS NVDR,Thailand,BTS Group Holdings Public Company Ltd
BTSGY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,BTS GROUP HLDGS UNSP/ADR,Thailand,BTS Group Holdings Public Company Ltd
BTVCF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BRITVIC PLC ORD,United Kingdom,Britvic plc
BTVCY,OTC Link,04/01/2018,OTCQX International Premier,N,American Depository Receipts,,BRITVIC PLC S/ADR,United Kingdom,Britvic plc
BTXI,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BTHC X INC,United Kingdom,"BTHC X, Inc."
BTZO,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BITZIO INC,USA,"Bitzio, Inc."
BUDFF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ANHEUSER BUSCH INBEV ORD,Belgium,Anheuser Busch Inbev SA NV
BUDZ,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,WEED INC,USA,"WEED, Inc."
BUGDF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BUMRUNGRAD HOSPITAL NVDR,Thailand,"Bumrungrad Hospital Public Co., Ltd."
BUHF,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BUCK HILL FALLS CO,USA,Buck Hill Falls Co.
BUHPF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BUMRUNGOLD HOSPITAL PCL,Thailand,"Bumrungrad Hospital Public Co., Ltd."
BUKS,OTC Link,04/01/2018,OTCQB,N,Common Stock,,BUTLER NATL CORP,USA,Butler National Corp.
BUNM,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BURNED MEDIA LTD,USA,"Burned Media, Ltd."
BURBY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,BURBERRY GROUP PLC S/ADR,United Kingdom,Burberry Group Plc
BURCA,OTC Link,04/01/2018,OTC Pink Limited,N,Common Stock,A,BURNHAM HLDGS INC A,USA,"Burnham Holdings, Inc."
BURCB,OTC Link,04/01/2018,OTC Pink Limited,N,Common Stock,,BURNHAM HLDGS INC B,USA,"Burnham Holdings, Inc."
BVBC,OTC Link,04/01/2018,OTCQX U.S. Premier,N,Common Stock,,BLUE VALLEY BAN CORP,USA,Blue Valley Ban Corp.
BVDRF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,MARIE BRIZARD W & S ORD,France,MARIE BRIZARD WINE & SPIRITS SA
BVFL,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BV FINANCIAL INC,USA,"BV Financial, Inc."
BVILF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BREVILLE GROUP LTD,Australia,Breville Group Ltd.
BVILY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,BREVILLE GRP UNSP/ADR,Australia,Breville Group Ltd.
BVNKF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BAVARIAN NORDIC R/I ORD,Denmark,Bavarian Nordic A/S
BVNRY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,BAVARIAN NORDIC R/I S/ADR,Denmark,Bavarian Nordic A/S
BVRDF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BUREAU VERITAS REG INT,France,Bureau Veritas Registre International De Classification
BVTEF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ICONIC MINERALS LTD,Canada,Iconic Minerals Ltd
BVTK,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BRAVATEK SOLUTIONS INC,USA,"Bravatek Solutions, Inc."
BWBA,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BROADWEBASIA INC,United Kingdom,"BroadWebAsia, Inc."
BWEL,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BOSWELL (J G) CO,USA,Boswell (J.G.) Co.
BWLLF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BW LPG LTD ORD,Singapore,BW LPG Ltd.
BWLLY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,BW LPG LTD U/ADR,Singapore,BW LPG Ltd.
BWLVF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BOWLEVEN PLC ORD,United Kingdom,Bowleven Plc.
BWMG,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BROWNIE'S MARINE GRP INC,USA,"Brownie's Marine Group, Inc."
BWOWF,OTC Link,04/01/2018,OTC Pink No Information,N,Ordinary Shares,,WOWJOINT HLDGS LTD,China,Wowjoint Holdings Limited
BWPC,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BLUE WATER PETROLEUM CP,USA,Blue Water Petroleum Corp.
BWSOF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,THREED CAP INC (Y) ORD,Canada,Threed Cap Inc (Y)
BWTL,OTC Link,04/01/2018,OTC Pink Limited,N,Common Stock,,BOWLIN TRAVEL CENTERS INC,USA,"Bowlin Travel Centers, Inc."
BWTX,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BAKKEN WATER TRANSFER SER,USA,Bakken Water Transfer Services Inc.
BWVI,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BLUE WATER VENTURES INC,USA,"Blue Water Ventures International, Inc."
BXBLY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,BRAMBLES LTD  SP/ADR,Australia,"Brambles, Ltd."
BXLC,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BEXIL CORP,USA,Bexil Corp.
BXNG,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BANG HLDGS CORP,USA,Bang Holdings Corp.
BXRBY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,BENDIGO & ADELAID UNS/ADR,Australia,Bendigo & Adelaide Bank Ltd.
BXRDF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BAUXITE RESOURCES LTD ORD,Australia,Bauxite Resources Ltd.
BXXRF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,EXGEN RES INC,Canada,Exgen Resources Inc.
BYCBF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BARRY CALLEBAUT AG,,Barry Callebaut AG
BYDDF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BYD CO LTD H SHS,China,"BYD Co., Ltd."
BYDDY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,BYD CO LTD UNSP/ADR,China,"BYD Co., Ltd."
BYDIF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BYD ELECTRONIC INTL CO,China,Byd Electronic International Co Ltd.
BYIN,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BAYING ECOLOGICAL HLD GRP,USA,Baying Ecological Holding Group Inc
BYLB,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BOYLE BNCRP (BOYLE KY),USA,"Boyle Bancorp, Inc."
BYMOF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BAYERISCHE MOTORNWRKE PFD,Germany,Bayerische Motoren Werke AG
BYNEY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,BANYAN TREE HLDG UNSP/ADR,Singapore,"Banyan Tree Holdings, Ltd."
BYOC,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BEYOND COMMERCE INC,USA,"Beyond Commerce, Inc."
BYOGF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BOUNTY OIL ORD,Australia,Bounty Oil & Gas NL
BYPLF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BODYCOTE PLC ORD,United Kingdom,Bodycote Plc
BYRG,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BUYER GROUP INTL INC,USA,"Buyer Group International, Inc."
BYROF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BYRON ENERGY LTD ORD,Australia,Byron Energy Ltd
BYSD,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BAYSIDE CORP,USA,Bayside Corp.
BYST,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BAY STAKES CORPORATION,USA,Bay Stakes Corporation
BZIC,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BEAMZ INTERACTIVE INC,USA,Beamz Interactive Inc
BZLFF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BUNZL PLC NEW ORD,United Kingdom,Bunzl plc
BZLFY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,BUNZL PLC S/ADR,United Kingdom,Bunzl plc
BZQIF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,BEZEQ ISRAEL TELECOM,Israel,Bezeq The Israel Telecommunication Corp Ltd.
BZQIY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,BEZEQ ISRAEL TELCM UN/ADR,Israel,Bezeq The Israel Telecommunication Corp Ltd.
BZTG,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,BUZZ TECHNOLOGIES INC,Singapore,"Buzz Technologies, Inc."
BZYR,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,BURZYNSKI RESH INSTITUTE,USA,"Burzynski Research Institute, Inc."
BZZUY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,BUZZI UNICEM SPA UNSP/ADR,Italy,Buzzi Unicem SpA
CABB,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,CALIF BUSINESS BANK (CA),USA,California Business Bank (Los Angeles)
CABF,OTC Link,04/01/2018,OTCQX U.S.,N,Common Stock,,CAB FINL CORP,USA,CAB Financial Corporation
CABGY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,B,CARLSBERG AS SP/ADR REP B,Denmark,Carlsberg AS
CABHF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,A,CARLSBERG AS SHS A,,Carlsberg AS
CABJF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,B,CARLSBURG AS B ORD,Denmark,Carlsberg AS
CACA,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,CHINA CRAWFISH LTD,USA,"China Crawfish, Ltd."
CACH,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,CACHE INC,USA,"Cache, Inc."
CADGF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,CORPORACION DURANGO SA,Mexico,Bio Pappel S.A.B. de C.V.
CADNF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,CASCADES INC,Canada,Cascades Inc.
CAEN,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,CALIF-ENGELS MINING CO,USA,California-Engels Mining Co.
CAFI,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,CONSUMER AUTOMOT FIN INC,USA,"Consumer Automotive Finance, Inc."
CAFS,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,CAFE SERENDIPITY HLDG INC,USA,"Cafe Serendipity Holdings, Inc."
CAGDF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,CENTERRA GOLD INC,Canada,Centerra Gold Inc.
CAGR,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,CALIFORNIA GRAPES INTL,USA,"California Grapes International, Inc."
CAGU,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,CASTLE GROUP INC UTAH,USA,"Castle Group, Inc. (THE)"
CAHI,OTC Link,04/01/2018,OTC Pink No Information,Y,Common Stock,,CARRIER ALLIANCE HLDGS,USA,"Carrier Alliance Holdings, Inc."
CAHPF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,EVOLUTION MINING LTD ORD,Australia,Evolution Mining Ltd.
CAIB,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,CALIFORNIA INTL BANK,USA,California International Bank
CAIXY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,CAIXABANK SA UNSP/ADR,Spain,Caixabank SA
CAJFF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,CANON INC,Japan,"Canon, Inc."
CAKFF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,MCKESSON EUROPE AG,Germany,McKesson Europe AG
CAKFY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,MCKESSON EUROPE AG ADR,Germany,McKesson Europe AG
CALB,OTC Link,04/01/2018,OTCQX U.S. Premier,N,Common Stock,,CALIFORNIA BANCORP,USA,California Bancorp
CALRF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,CALIDUS RESOURCES LTD,,Calidus Resources Ltd
CALW,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,CALWEST BANCORP (CA),USA,CalWest Bancorp
CALZF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,POLYNOVO LTD OTD,Australia,Polynovo Ltd.
CAME,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,CHINAMERICA ANDY MOVIE EN,USA,ChinAmerica Andy Movie Entertainment Media Co.
CAMG,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,CAM GROUP INC,China,"CAM Group, Inc."
CAMZF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,CAMINO MINERALS CORP,Canada,Camino Minerals Corp.
CANB,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,CANBIOLA INC,USA,"Canbiola, Inc."
CANJ,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,CAPITAL BANK NEW JERSEY,USA,Capital Bank New Jersey
CANL,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,CANNLABS INC,USA,CannLabs Inc.
CANN,OTC Link,04/01/2018,OTCQB,N,Common Stock,,GENERAL CANNABIS CORP,USA,General Cannabis Corp.
CANOF,OTC Link,04/01/2018,OTCQB,N,Ordinary Shares,,CALIFORNIA NANOTECHS CORP,Canada,California Nanotechnologies Corp
CANWF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ORCA GOLD INC ORD,Canada,Orca Gold Inc.
CANY,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,CANYON SILVER MINES INC,USA,"Canyon Silver Mines, Inc."
CAOHF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,FDG ELECTRIC VEHICLES LTD,,FDG Electric Vehicles Ltd.
CAOVF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,CHINA OVERSEAS LD&INV LTD,China,China Overseas Land & Investment Ltd.
CAOVY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,CHINA OVERSEAS L&I UN/ADR,China,China Overseas Land & Investment Ltd.
CAOX,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,CALIF ORCHARD CO,USA,California Orchard Co.
CAPA,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,CAPITAL ART INC,USA,"Capital Art, Inc."
CAPB,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,CAPITALSOUTH BANCORP,USA,CapitalSouth Bancorp
CAPC,OTC Link,04/01/2018,OTCQB,N,Common Stock,,CAPSTONE COMPANIES INC,USA,"Capstone Companies, Inc."
CAPMF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,CAPGEMINI SE ORD,France,Capgemini SE
CAPP,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,CAPSTONE FINANCIAL GP INC,USA,Capstone Financial Group Inc.
CAPS,OTC Link,04/01/2018,OTCQB,N,Common Stock,,CAPSTONE THERAPEUTICS CRP,USA,Capstone Therapeutics Corp
CAPV,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,CABO VERDE CAPITAL INC,Portugal,Cabo Verde Capital Inc.
CARCY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,CHINA RES CEMENT HLDGS,China,China Resources Cement Holdings Ltd.
CARE,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,CARTER BK&TR MRTNSVLE VA,USA,Carter Bank & Trust (Martinsville VA)
CASDY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,CHINA NATL MTRLS UNSP/ADR,China,"China National Materials Co., Ltd."
CASG,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,CANADIAN AEROSPCE GP INTL,USA,"Canadian Aerospace Group International, Inc."
CATG,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,CAPSTONE TECHNOLOGIES,USA,"Capstone Technologies Group, Inc."
CATI,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,CLONE ALGO TECHS INC,USA,Clone Algo Technologies Inc.
CATV,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,4CABLE TV INTL INC,USA,"4Cable TV International, Inc."
CAULF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,CAULDRON ENERGY LTD ORD,Australia,Cauldron Energy Ltd.
CAVR,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,CAVU RESOURCES INC,USA,CAVU Resources Inc.
CAZGF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,CATAPULT GROUP INTL LTD,Australia,Catapult Group International Ltd.
CBAF,OTC Link,04/01/2018,OTCQX U.S. Premier,N,Common Stock,,CITBA FINANCIAL CORP,USA,Citba Financial Corp.
CBAI,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,CORD BLOOD AMERICA INC,USA,"Cord Blood America, Inc."
CBAOF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,CIBANCO SA CTF BUR SER 13,,CIBanco SA CTF Bursatiles Fiduciarios Inmobiliario
CBAUF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,CMNWLTH BK AUSTRALIA,Australia,Commonwealth Bank of Australia
CBAUY,OTC Link,04/01/2018,OTC Pink Current,N,Global Depository Receipts,,CMNWLTH BK AUSTRLA 144A,Australia,Commonwealth Bank of Australia
CBBB,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,CONTINENTAL BEV BRD CORP,USA,Continental Beverage Brands Corporation
CBBC,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,CBBC BANCORP,USA,CBBC Bancorp
CBBHF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,COBALT BLUE HLDGS,,Cobalt Blue Hldgs.
